ID,Title,Authors,Year,Abstract,Keywords,Datenbank
261,A Comprehensive Study on Mitigating Synthetic Identity Threats Using Deepfake Detection Mechanisms,S. Uppal; V. Banga; S. Neeraj; A. Singhal,2024,"Synthetic Identity Threats (SIT) present one of the greatest risks that could undermine the integrity and security of digital systems. These threats adapt Deepfake Technology through generation of new faces, modification of facial attributes or reenactment of fake emotions on human faces. This study is a full documentation of how Deepfake Detection mechanisms can be modelled to neutralize these SIT's using various Deep Learning architectures. We also explored applications of Deepfake beyond malicious intent into forms that are less nefarious like entertainment purposes. We utilized Generative Adversarial Networks to create Deepfakes and experimented with conducting face swaps between two distinct photos as well to assess the quality of Deepfake Technology. For detection of Deepfakes, Convolution Neural Network has shown the highest accuracy of 89.36%, Inception ResNet attained an accuracy of 82.978% while Visual Geometry Group and EfficientNet were at a score of 82.8% and 83% respectively. It is evident that although the current detecting methods are competent in their abilities, the SIT environment continues to develop. Through analyzing the nuances of producing Deepfakes and comparing current quality detection methods, we hope to offer useful information on how scholars and administrators can better protect the internet from deceitful attacks of Deepfakes.",Synthetic Identity Threats (SIT);Deepfake Detection Challenge Dataset (DFDC);Convolution Neural Network (CNN);Inception ResNet;Visual Geometry Group (VGG);EfficientNet;Generative Adversarial Networks (GAN);Deepfake Generation;Face Swapping,IEE
262,A Comprehensive Review of Media Forensics and Deepfake Detection Technique,M. Kandari; V. Tripathi; B. Pant,2023,"In recent years, as the use of the internet and social media has advanced, so the number of fake media content also grows rapidly. Media forensic techniques are becoming essential to analyze and extract information from various types of media, such as images, videos, and audio recordings, to be used as evidence in legal proceedings. As of recent trends, social media is being flooded with sophisticated deepfakes. So evolving deepfake detection technique is required to curb the flow of misinformation via deepfake videos. This paper intends to present a review of evolving media forensics and deepfake detection techniques.",Deepfake;Deep learning;internet;Media forensic;Misinformation;social media,IEE
263,A New Approach for Effective Medical Deepfake Detection in Medical Images,M. Karak�se; H. Yet??; M. �e�en,2024,"In today�s world, deepfake technology is being used to generate fake images, sounds, and videos from real images and sounds using deep learning and artificial intelligence techniques. It is possible to manipulate medical images with this technology. The manipulation of medical images can lead to incorrect diagnoses by medical professionals, disrupting the functioning of hospitals. As a result of these disruptions, hospitals may experience significant financial and life-threatening problems. In this study, it is aimed to obtain an effective deep learning-based method to detect manipulated medical images. Initially, two distinct datasets are created which contain Knee Osteoarthritis X-ray and lung CT scans. Data pre-processing and augmentation methods are applied for data standardization and variation. The instances in datasets are labeled as real or fake. The medical deepfake distinguish ability of YoloV3, YoloV5nu, YoloV5su, YoloV8n, YoloV8s, YoloV8m, YoloV8l, YoloV8x models tested on these datasets. In the analysis performed, all YOLO models showed almost full success in distinguishing Knee Osteoarthritis X-ray images. In lung CT scan images, although YoloV8 models generally achieved good performance, the YoloV5 models gave the best and worst results. While the best result was obtained from YoloV5su with a recall value of 0.997, the worst result was obtained from the YoloV5nu model with a recall value of 0.91. Furthermore, the best model (YoloV5su) works 60% faster than YoloV8x model, which has the second highest performance. The findings show that YoloV5su can be used for fast and accurate medical deepfake detection.",Medical deepfake image detection;deep learning;YOLO;convolutional neural networks,IEE
264,Dodging DeepFake Detection via Implicit Spatial-Domain Notch Filtering,Y. Huang; F. Juefei-Xu; Q. Guo; Y. Liu; G. Pu,2024,"The current high-fidelity generation and high-precision detection of DeepFake images are at an arms race. We believe that producing DeepFakes that are highly realistic and �detection evasive� can serve the ultimate goal of improving future generation DeepFake detection capabilities. In this paper, we propose a simple yet powerful pipeline to reduce the artifact patterns of fake images without hurting image quality by performing implicit spatial-domain notch filtering. We first demonstrate that frequency-domain notch filtering, although famously shown to be effective in removing periodic noise in the spatial domain, is infeasible for our task at hand due to the manual designs required for the notch filters. We, therefore, resort to a learning-based approach to reproduce the notch filtering effects, but solely in the spatial domain. We adopt a combination of adding overwhelming spatial noise for breaking the periodic noise pattern and deep image filtering to reconstruct the noise-free fake images, and we name our method DeepNotch. Deep image filtering provides a specialized filter for each pixel in the noisy image, producing filtered images with high fidelity compared to their DeepFake counterparts. Moreover, we also use the semantic information of the image to generate an adversarial guidance map to add noise intelligently. Our large-scale evaluation on 3 representative DeepFake detection methods (tested on 16 types of DeepFakes) has demonstrated that our technique significantly reduces the accuracy of these 3 fake image detection methods, 36.79% on average and up to 97.02% in the best case.",DeepFake;DeepFake evasion;DeepFake detection,IEE
265,Performance Analysis of Deepfake Text Detection Techniques on Social-media,A. Gaur; S. K. Singh; P. Saxena,2024,"In the last few years, there has been remarkable progress in the domain of natural language generation & understanding. This has led to the development of enhanced text generation capability of machines that can generate spurious text or deepfake text. The technology may be exploited to change and shape public sentiment on social media. Therefore, mechanisms to detect deepfake text is a crucial task. The study emphasizes on detection of deepfake text on social media platform X (formerly Twitter). It presents the performance of machine learning classifiers Logistic regression (LR), XGB classifier, and AdaBoost classifier, utilizing feature engineering methods Term Frequency (TF) and Term Frequency-Inverse Document Frequency (TF-IDF). Deep learning methods such as Dense Neural Networks (DNN), Bi-directional Long Short-Term Memory (Bi-LSTM), and Convolutional Neural Networks (CNN)in addition to state-of-the-art models and variants such as Bi-Directional Encoder Representations from Transformers (BERT), DistilBERT & RoBERTa are also a part of study, leading to 89.17% accuracy in deepfake text detection.",Deepfake;Text Classification;Deep learning;Tweets;convolution neural networks,IEE
266,Optimization of DeepFake Video Detection Using Image Preprocessing,A. Berjawi; K. Samrouth; O. Deforges,2023,"Deep learning has been evolving recently which allowed it to handle complex problems like big data, computer vision, and human-level control. One of the deep learning-powered applications recently emerged is called �deepfake�. Deepfake algorithms have recently been a controversial development in Artificial Intelligence, because they use deep learning to generate fake yet realistic content based on an input dataset. As a result, many are concerned with the potential risks in terms of cyber-security as it causes threats to privacy, democracy, and national security. Multiple techniques were proposed to detect deepfake videos, however most cannot cope with the variety of the deepfake generation techniques. Therefore, in this study, we optimize one of the best existing deepfake detection methods based on Xception model. In particular, our proposed optimization scheme consists of a pre-processing phase performing advanced image enhancement on the videos in hand for highlighting the face features for better feature extraction as well fake content detection, which is preceded by a close-up dataset cleansing. Our experiments show that the proposed pre-processing optimization scheme had improvemes the performance of the Xception Binary Classifier- Inference model from 94% to 96%.",Deep Learning;Image Processing;Deepfake;Pre-processing;Xception Binary Classifier-Inference model,IEE
267,An effective approach for detecting deepfake videos using Long Short-Term Memory and ResNet,S. Keerthana; N. Deepika; E. Pooja; I. Nandhini; M. Shanthalakshmi; G. R. Khanaghavalle,2024,"Deep learning algorithms are becoming more potent and producing human-synthesized, undifferentiated footage is a simple process thanks to advances in computing power. A method of synthesizing human images called deep fakes is built on neural network techniques like GAN. These technologies use deep learning algorithms to overlay target pictures onto the source films, producing realistic-looking deep-fake photos and videos. In this work, we provide a novel deep-learning approach that can reliably discriminate between actual and AI-generated fake videos. In this work, we test our method on a large number of balanced and mixed datasets created by mixing various publicly available datasets, such as Face-Forensic++, Deepfake detection, Celeb DF, and other publicly available datasets as images and videos, to emulate real-time scenarios and improve model performance with real-time data by using LSTM and ResNet.",Deep Learning;Computer Vision;Deepfake;GAN;LSTM;ResNet,IEE
268,Deepfake Audio Detection Using Spectrogram-based Feature and Ensemble of Deep Learning Models,L. Pham; P. Lam; T. Nguyen; H. Nguyen; A. Schindler,2024,"In this paper, we propose a deep-learning-based system for the task of deepfake audio detection. This work is a part of the proposed toolchain for speech analysis in EUCINF (EUropean Cyber and INFormation) project, which is an European project with multiple partners in Europe. In particular, the raw input audio is first transformed into various spectrograms using three transformation methods of Short-time Fourier Transform (STFT), Constant-Q Transform (CQT), Wavelet Transform (WT) combined with different auditory- based filters of Mel, Gammatone, linear filters (LF), and discrete cosine transform (DCT). Given the spectrograms, we evaluate a wide range of classification models based on three deep learning approaches. The first approach is to train the spectrograms using our proposed baseline models of CNN-based model (CNN- baseline), RNN-based model (RNN-baseline), C-RNN model (C-RNN baseline). Meanwhile, the second approach is to apply the transfer learning from computer vision models such as ResNet- 18, MobileNet-V3, EfficientNet-BO, DenseNet-121, SuffleNet- V2, Swint, Convnext- Tiny, GoogLeNet, MNASsnet, and Reg- Net. In the third approach, we leverage the state-of-the-art audio pre-trained models of Whisper, Seamless, Speechbrain, and Pyannote to extract audio embed dings from the input spectrograms. Then, the audio embed dings are explored by a Multilayer perceptron (MLP) model to detect fake or real audio samples. Finally, high-performance deep learning models from these approaches are fused to achieve the best performance. We evaluated our proposed models on ASVspoof 2019 benchmark dataset. Our best ensemble model achieved an Equal Error Rate (EER) of 0.03, which is highly competitive to top-performing systems in the ASVspoofing 2019 challenge. Experimental results also highlight the potential of selective spectrograms and deep learning approaches to enhance model performance on the task of audio deepfake detection.",Items- deepfake audio;spectrogram;feature extraction;classification model,IEE
269,Comparative Analysis of Deepfake Detection Models,O. Jannu; V. Sekar; T. Padhy; P. Padalkar,2024,"Deepfakes, which leverage advanced machine learning techniques such as generative adversarial networks (GANs), pose a significant threat to the integrity of visual content and raise concerns about misinformation and identity theft. This research provides a comparative analysis of various deepfake detection models, aiming to dissect their strengths and weaknesses. Notable architectures like Xception and ResNet50 exhibit high accuracy, precision, and recall with minimal gender bias. However, the Swin Transformer, while excelling in fake image detection, faces challenges with real images, suggesting potential bias. The CNN model demonstrates subpar performance, emphasizing limitations in classifying both fake and real images effectively. MobileNet shows moderate overall performance but maintains balanced precision and recall. The study recommends an ensemble approach to combine model strengths and address individual weaknesses. Future work should focus on refining model architectures, exploring ensemble strategies, and mitigating biases in real image detection.",Deepfakes;Deepfake Detection;Comparative Analysis;Neural Networks;Machine Learning;Ensemble Approach;Biases;Model Evaluation,IEE
270,Fake Information Detection Using Deep Learning Methods: A Survey,P. Dhiman; A. Kaur; A. Bonkra,2023,"Fake content has always existed, even before the internet was founded. Because social media is free to use and accessible, a great deal of information is shared on these sites. These platforms play a significant role in the dissemination of information, whether accurate or false. The unregulated proliferation of fake information creation and dissemination that we've seen in recent years poses a constant threat to democracy. Fake content articles have the power to persuade individuals, leaving them perplexed. Deep learning techniques are extremely useful for detecting fake information. This paper analyses multiple DL techniques and datasets used by different researchers for analysis that aids in the detection of bogus information.",Deep learning techniques;disinformation;fake information detection;misinformation,IEE
271,Deepfake Detection Based on Multi-scale RGB-Frequency Feature Fusion,Y. Meng; X. Wang; X. Wang; Z. Liu; H. Zhou,2024,"Withthe rapid advancement of Deepfake technology, Deepfake content is becoming increasingly realistic and is being widely utilized in political forgery, financial fraud, and the dissemination of false news. In order to more accurately detect Deepfake images and adapt the detection model to various compression scenarios, we propose a forgery detection model based on multi-scale Rgb-Frequency domain feature extraction. This model employs different scale size feature extraction in CNN and extracts multi-scale features in the RGB domain. Subsequently, different feature sequences are input into the Transformer decoder to establish connections between modules and perform classification. The results demonstrate that MRFD exhibits strong robustness and generalization ability when adapting to changes in compression rates. On the LQ dataset of FF++, the ACC and AUC are 90.87% and 93.87%, respectively. The ACC on HQ dataset reaches 97.54% with an AUC of 99.27%.",Deepfake detection;CNN combined with ViT;Rgb-Frequency domain feature fusion;multi-scale feature extraction,IEE
272,Employing Deep Learning Approaches to Detect Deepfake Attributes in Videos,G. Malleswari; A. S. Reddy; R. Raja,2024,"The combination of �fake� and deep learning techniques is known as deepfake technology. Deepfakes are created and detected using deep learning, a form of artificial intelligence. Generative adversarial networks, which are made up of two machine learning models cooperating, are used to create these deepfakes. People may grow less and less inclined to believe content that is genuine as long as deepfake photos and videos keep appearing on social media. Deepfake detection techniques are designed to discriminate between real and fake photos and videos on social media. These techniques rely on training the detection models using datasets that contain both genuine and fraudulent images or videos, highlighting the need for high-quality and diverse data for effective detection. In this research, we initially delve into the realm of deepfake technology and the associated challenges. Subsequently, we identify accessible video datasets. Following that, we employ long short-term memory for learning sequences and utilize convolutional neural networks for classifying eye states. Additionally, we leverage the eye aspect ratio to identify blinking intervals and compute the dimensions of closed and open eyes.",Deepfake images;Generative adversarial networks;deep learning;machine learning;convolutional neural networks,IEE
273,Deep fake Image Detection based on Modified minimized Xception Net and DenseNet,I. Sahib; T. A. A. AlAsady,2022,"This paper deals with the problem of image forgery detection because of the problems it causes. Where The Fake im-ages can lead to social problems, for example, misleading the public opinion on political or religious personages, de-faming celebrities and people, and Presenting them in a law court as evidence, may Doing mislead the court. This work proposes a deep learning approach based on Deep CNN (Convolutional Neural Network) Architecture, to detect fake images. The network is based on a modified structure of Xception net, CNN based on depthwise separable convolution layers. After extracting the feature maps, pooling layers are used with dense connection with Xception output, to in-crease feature maps. Inspired by the idea of a densenet network. On the other hand, the work uses the YCbCr color system for images, which gave better Accuracy of %99.93, more than RGB, HSV, and Lab or other color systems.",convolutional neural network (CNN);Xception net;Densenet;depthwise separable convolution;Deep fake,IEE
274,Unmasking the Illusion: Deepfake Detection through MesoNet,A. Gupta; D. Pandey,2024,"In today�s era of vast digital manipulation, the rise of deepfake technology poses a significant challenge to genuineness of multimedia content and introduces a profound risk to privacy, cybersecurity, and information integrity. Our research contributes to the ongoing discussion on deepfake detection, with a particular focus on assessing effectiveness of MesoNet model. It focuses on analysis of face micro-expressions and makes use of the Face2Face deepfake dataset, known for its adeptness in facial reenactment. Objectives of the research include evaluating MesoNet's efficacy by scrutinizing its performance across various parameters, fine-tuning the model for improved results, and gaining nuanced insights into its capabilities. Results reveal a notable advancement, with MesoNet achieving an accuracy of 90.4%, surpassing the previous 89.1%. Improved results after careful adjustment of activation functions and regularization parameters underscores the significance of hyperparameter optimization in deep learning models.",CNN;deepfake;MesoNet;face swap;expression swap;Face2Face,IEE
275,DeepFakes Detection in Videos using Feature Engineering Techniques in Deep Learning Convolution Neural Network Frameworks,S. J. Burroughs; B. Gokaraju; K. Roy; L. Khoa,2020,"In this paper, we discuss the intermediate results of our on-going study of DeepFakes detection in videos. Our core focus is in exploitation of feature engineering as a precursor filtering technique, to the deep learning-based convolution neural network (CNN) classification frameworks. In previous research, we focused on the standard deviation of the points of interest from SIFT or Scale-Invariant Feature Transform, to detect whether visual media has been compromised with misinformation. Hence, in this new approach we rely on classical frequency analysis of images that reveals different behaviors at higher frequencies. We noticed in literature review that there lies a distinct contrast of range of frequency component that emphasize important information in images [11]. We plan to use Discrete Wavelet Transform, abbreviated as DWT, and anticipate improvement of detection accuracy when used on complex and poor-quality images of FaceForensics++. The DWT features will be input to the CNN binary classification to further analyze the performance essentially when detecting this fraudulent information and to compare the detection performance against previous research which used Scale-Invariant Feature Transform.",DeepFake;deep learning;discrete wavelet transform;frequency;cyber identity;security,IEE
276,Deepfake Detection: A Multi-Algorithmic and Multi-Modal Approach for Robust Detection and Analysis,S. Nailwal; S. Singhal; N. T. Singh; A. Raza,2023,"In a time when deepfakes are eroding the reliability of digital media, our innovative research introduces a multi-faceted framework that achieves unprecedented levels of detection accuracy. Boasting a 97% success rate in verifying visual content and an almost unblemished 98.5% in audio analysis, our system serves as a formidable barrier against the malicious alteration of digital assets. Central to our model's stellar performance is the seamless integration of convolutional neural networks (CNNs) with ReLU activation mechanisms, all fine-tuned via stochastic gradient descent (SGD). This expertly engineered architecture is highly proficient at analyzing the nuanced spatial features of visual media, and it works in synergy with cutting-edge machine learning algorithms. For the audio detection aspect, we employ random forest algorithms, celebrated for their robustness and versatility. This ensemble learning approach adds an extra layer of complexity to the model, effectively identifying the intricate spectral and temporal characteristics of audio streams, thereby boosting the overall efficacy of our detection system. Our methodology is further fortified by meticulous data preprocessing methods, such as normalization and data augmentation, which ensure the model's robustness against a myriad of deepfake techniques. This groundbreaking research not only establishes a new benchmark in the arena of deepfake detection but also has significant ramifications for the wider field of cybersecurity and the preservation of digital authenticity. With its unmatched performance metrics, our research represents a pivotal advancement in combating the growing menace of deepfakes in today's digital society.",deepfake detection;SGD;CNN;deep learning;random forest;ReLu;GAN,IEE
277,Deep Fake in picture using Convolutional Neural Network,J. N. Singh; A. Gautam; H. Tomar,2023,"Deepfake is a system that combines fake pictures and videos with deep learning. Deep learning is the source of Deepfake. The unethical practice of creating falsified photographs and movies is now possible because of neoteric advances in the fields of Artificial Intelligence and Machine Learning. Today, it is very easy to create photo simulative images using generative adversarial networks. These fake images and videos are widely available on the internet and social media. It is difficult to tell which of them is real or not. These images are typically taken with the goal of stirring up social disturbance, political turmoil, or distributing false information among the general public. Viewers will easily comprehend these images because they will look to be real. Deepfake is rapidly harming individuals, communities, companies, security, religion, and democracy, according to recent studies. These videos and photographs are of astounding quality, and they have a huge social media reach. It has far-reaching effects that are destructive beyond comprehension. An extensive overview of the different deep-fake methods is provided in this publication. So, the objective of this paper is to identify these fake images using a conventional neural network. In order to address this issue, we train a model for particular datasets, produce deep fakes, and then use that model to try to identify the deep fake. An authentic and false image is required for the training process in order to train the model.",CNN;Image Detection;RNN,IEE
278,Robust and Generalized DeepFake Detection,S. Yadav; S. Bommareddy; D. K. Vishwakarma,2022,"Images that are manipulated are prevalent and are on the spike because of the advancement in deep convolutional neural networks (CNNs) techniques. There have been several concerns regarding the advent spread of false information. There exists a need for a reliable and robust method to detect such fake images. In this paper, analysis was done using the architecture SlowFast in detecting manipulated videos. This paper focuses on detecting DeepFake videos under three distinct scenarios, which are (i) all manipulation detection, (ii) single manipulation detection, and then (iii) cross manipulation detection used to test the veracity of the videos. The manipulation methods and designing algorithms to categorize such unknown manipulation techniques were used.",Deepfakes;Deepfake Detection;Media forensics;Computer Vision;SOTA(State-Of-The-Art);Facial Manipulation Detection,IEE
279,Deepfake Detection using GAN Discriminators,S. A. Aduwala; M. Arigala; S. Desai; H. J. Quan; M. Eirinaki,2021,"Deepfake videos are videos where the features of a person are replaced with the features of another person. Videos can be manipulated using powerful Deep Learning techniques. This technology may be used maliciously as a means of misinformation, manipulation, and persuasion. There are currently not many solutions to identify products of Deepfake technology, although there is significant research being conducted to tackle this problem. One often researched deep learning technology is the Generative Adversarial Network (GAN). These networks are commonly used to generate Deepfake videos but not used for their detection. In this work, we explore solutions based on GAN discriminators as a means to detect Deepfake videos. Using MesoNet as a baseline, we train a GAN and extract the discriminator as a dedicated module to detect Deepfakes. We test several discriminator architectures using multiple datasets to explore how the efficacy of the discriminator varies with different setups and training methods. Finally, we propose a model to boost the efficacy of a group of GAN discriminators using ensemble methods. Our results show that GAN discriminators, even augmented by ensemble methods, do not perform well on videos from unknown sources.",Deepfake Detection;Generative Adversarial Networks;GAN;Discriminator;Deepfake Videos;Deep Learning;Image Processing;Feature Recognition,IEE
280,Transfer-Learning and YOLO V7 Hybridised for Human Cropping for Deepfake Detection Algorithms,N. Waqas; S. I. Safie; K. A. Kadir; S. Khan; A. A. Khan,2023,"The advent of deep learning technology has created images and videos convincingly fake to appeal viewers enough in appearing close to real. Such image and video modalities, known as Deepfakes, can cause harm to individuals, communities, and countries. Detecting Deepfakes is essential to prevent their negative impacts, and several detection techniques that utilize deep learning algorithms have been developed over the recent past years. The algorithms reduce the target modality to dimensional latent space to include features important for subsequent reconstruction of the same modality from the developed latent distribution data. However, manual data preprocessing such as splitting frames and cropping regions from Deepfake videos for the facial features can be tedious and time-consuming. This article proposes YOLO V7 hybridised with transfer-learning to automate the cropping process in Deepfake videos and frames splitting, making it easier to extract facial features from videos. Various popular datasets have been used for Deepfake detection, and this article explores the benefits of the proposed approach. The results present a comparison of the proposed approach with state-of-the-art models from the levels of Precision, Recall, and mAP@.5 to demonstrate the robustness of the proposed technique. Notably, it is evident that our approach outperforms other models, boasting a precision value of 0.9009, a recall value of 0.8979, and an mAP@.5 value of 0.8745.",Deepfake;YOLO;Deep learning;Transfer Learning,IEE
281,Quick Classification of Xception And Resnet-50 Models on Deepfake Video Using Local Binary Pattern,A. Arini; R. Broer Bahaweres; J. Al Haq,2022,"The ease of deepfake videos are created indicates that there is an increasing need for authentication methods to classify deepfake videos. This issue is very sensitive, deepfakes make it possible to make someone say or do something they never said or did in a video, this puts a person�s dignity at risk. Another problem arises with the large size of the deepfake video dataset, because large datasets require longer training times and high computational specifications. This paper describes an approach to deepfake video classification using a small dataset and image processing. We propose a method that applies MTCNN (Multi-task Cascaded Convolutional Networks) to capture face data on video frames, image processing in the form of Gaussian filters and Local Binary Pattern (LBP) with Xception model for deepfake video classification and ResNet-50 as comparison. We use a dataset totaling 2000 frames from the entire Celeb-DF(V2) dataset. The results show that the proposed method, the Xception model, has better performance with an AUC value of 0.87 and an accuracy value of 0.79 compared to the ResNet-50 model.",Video Classification;Deepfake;Xception;ResNet-50;MTCNN;Gaussian Filter;Local Binary Pattern;Small Dataset;Celeb-DF(V2),IEE
282,Integrating Audio-Visual Features For Multimodal Deepfake Detection,S. Muppalla; S. Jia; S. Lyu,2023,"Deepfakes are AI-generated media in which an image or video has been digitally modified. The advancements made in deepfake technology have led to privacy and security issues. Most deepfake detection techniques rely on the detection of a single modality. Existing methods for audio-visual detection do not always surpass that of the analysis based on single modalities. Therefore, this paper proposes an audio visual based method for deepfake detection, which integrates fine-grained deepfake identification with binary classification. We categorize the samples into four types by combining labels specific to each single modality. This method enhances the detection under intra-domain and cross-domain testing.",Deepfake detection;Multi-modality deepfakes;Audio-visual feature learning,IEE
283,Deepfakes Detection Methods: A Literature Survey,M. Weerawardana; T. Fernando,2021,"Recently, a great amount of concern has been attracted to the phenomena of DeepFake, which has been created for capturing and reenacting faces in a video and swap a face with someone else�s face using neural networks. In Deepfake technology, a computer-generated fake video shows fictional contents as real things. Many unbelievable applications in this technology are starting to be explored. Currently, malicious usages of fake videos are gaining in the computerized world like fake news, celebrity pornographic videos, revenge porn, and financial frauds. So, celebrities, politicians and famous people are facing mostly to Deepfake detection problem. Human�s naked eyes are weak to directly identify the difference between real videos and Deepfake videos because they are quite realistic. So, bothered people require an automated computerized Deepfake detection tool. This paper reviews existing Deepfake detection methods using traditional methods and deep learning technologies. Further this paper discussing the limitations of current methods and availability of datasets in the society. According to the literature, there is not a highly accurate and automated detection method to identify Deepfakes. The unavailability of efficient Deepfake detection method is a big challenge to the world due to the ease of generating Deepfake videos and their rapid spread. However, there are many efforts to solve this phenomenon and deep learning related methods show remarkable performance than other methods.",Deepfake technology;dataset;fake detection;machine learning;deep learning,IEE
284,4DPM: Deepfake Detection With a Denoising Diffusion Probabilistic Mask,R. Yang; Z. Deng; Y. Zhang; X. Luo; R. Lan,2024,"In the face of increasingly realistic fake human faces, research on enhancing the differences between real and fake images is valuable for improving the generalization capabilities of fake face detection models. In this letter, we propose a method called DPMask (Diffusion Probabilistic Mask) to amplify the distinctions between authentic and counterfeit human facial images. Specifically, we use a dataset consisting of real human facial images and Simplex noise to train a denoising diffusion probabilistic model for the proposed DPMask. Subsequently, we separately apply the DPMask and U-Net to real and fake human facial images to create noticeably distinct genuine and counterfeit human facial images. A lightweight classification network blue is further designed based on RepVGG to classify the newly generated real and fake human faces. Experimental results demonstrate that our model achieves high accuracy on a manually created fake face dataset (RFFD), a GAN-generated fake face dataset (Seq-DeepFake), and a DDPM-generated face dataset (HiFi-IFDL). Furthermore, the addition of DPMask significantly improves the performance of some public fake face detection models.",DDPM;deepfake detection;DPMask;lightweight model,IEE
285,DeepFake Detection Based on Discrepancies Between Faces and Their Context,Y. Nirkin; L. Wolf; Y. Keller; T. Hassner,2022,"We propose a method for detecting face swapping and other identity manipulations in single images. Face swapping methods, such as DeepFake, manipulate the face region, aiming to adjust the face to the appearance of its context, while leaving the context unchanged. We show that this modus operandi produces discrepancies between the two regions (e.g., Fig. 1). These discrepancies offer exploitable telltale signs of manipulation. Our approach involves two networks: (i) a face identification network that considers the face region bounded by a tight semantic segmentation, and (ii) a context recognition network that considers the face context (e.g., hair, ears, neck). We describe a method which uses the recognition signals from our two networks to detect such discrepancies, providing a complementary detection signal that improves conventional real versus fake classifiers commonly used for detecting fake images. Our method achieves state of the art results on the FaceForensics++ and Celeb-DF-v2 benchmarks for face manipulation detection, and even generalizes to detect fakes produced by unseen methods.",Image forensics;deep learning;deep fake;face swapping;fake image detection,IEE
286,Unmasking Deep Fakes: Detecting Low-Quality Forgeries through Unseen Artifacts,M. Venkateshwarlu; M. Yashaswi; D. Shah; R. A. Reddy,2024,"The spread of deepfakee-technology is a danger to the veracity of multimedia material, since it may be used to manipulate people's identities or spread false information. Low-quality forgeries continue to be difficult to detect because of their subtle artifacts, which elude traditional detection approaches. This is true even while deep fake detection algorithms have made significant progress in identifying high-quality forgeries. This research work presents a unique method for identifying hidden elements in low-quality forgeries, which may be used to uncover deep fakes. The proposed approach, which makes use of sophisticated machine learning algorithms and computer vision techniques, is centred on locating and taking advantage of distinctive artifacts that are introduced throughout the deep fake production process. This study provides a thorough analysis of these artefacts and show how well they can distinguish between real multimedia material and poor-quality deep fakes. The proposed technique is effective in properly detecting low-quality forgeries of photos, videos, and audio recordings. These findings are based on experiments conducted on a variety of datasets. Additionally, the proposed method's resilience is assessed against the cutting-edge deep fake creation techniques and emphasize its practical benefits in preventing the distribution of false information.",Deepfakes;generative adversarial networks;convolution neural networks;visibility matrix;cross-entropy,IEE
287,DeepFake Videos Detection and Classification Using Resnext and LSTM Neural Network,S. Patel; S. K. Chandra; A. Jain,2023,"Deepfake videos, which are artificial intelligence-altered videos that have acquired extensive awareness recently. Deep learning algorithms are utilized to create these deepfake films, which are meant to disseminate false information about anyone, including politicians and celebrities. These movies have been purposefully made viral in order to propagate propaganda and false information, to frighten people, and to destabilize society. It is exceedingly challenging for a casual viewer to recognize a deep fake video with the naked eye. Finding these manipulated films has been extremely difficult and requires careful attention. In order to recognize a deepfake movie, this paper, a novel methodology that combines ResNext, a Convolutional Neural Network (CNN) algorithm, with Long Short-Term Memory (LSTM), a Recurrent Neural Network (RNN) has been developed. It is found that as the number of epochs increased, the model's accuracy increased and its training loss reduced.",Artificial Intelligence;Deepfake;Deep learning algorithm;Convolutional Neural Network (CNN);ResNext;LSTM;Recurrent Neural network (RNN),IEE
288,A Comparative Analysis of Deep Fake Techniques,S. Chaudhary; R. Saifi; N. Chauhan; R. Agarwal,2021,"Recent developments and evolutions in machine learning algorithms have directed to the emergence of first-class altered pictures that create video frames and have a striking similarity to real-world pictures that create video frames. This can have a disastrous effect on how people perceive digitally available knowledge or facts. Recent developments in machine learning and camera function have allowed pictures that compose video frames and sounds to be convincingly altered. These deep-fake films differ from actual videos by replacing the soundtrack, the lip movement, or the location where the video was captured (background). Many relevant tools and automated systems for detecting such deep fake films have been developed. Researchers employ techniques such as pose estimation, facial artefacts, temporal pattern analysis, background comparison, eye blinking, and mesoscopic analysis. In a unique statistical research, we want to present a descriptive review of these traditional deep Fake detection approaches.",DeepFakes;Algorithms;Analysis;Creation-Detection,IEE
289,A Study On Deep Fakes Detection Using Blinks and Tracker,V. C; K. S; R. V R; S. S; T. R,2022,"Deep learning, a type of artificial intelligence (AI), replicates how the human brain processes data when processing data for tasks including speech recognition, object detection, visual object recognition, language translation, and decision-making. Generative Adversarial Network (GAN) is an outstanding generative version which can be extensively utilized in diverse applications. Recent research has indicated that it's far feasible to achieve faux face photographs with an excessive visible excellence primarily based totally in this novel version. For instance, the example may be impacted by a person's orientation, age, the hour of the day, or level of personal wellbeing. The misuse of the fake faces in photo manipulation could lead to certain ethical, moral, and legal issues. Therefore, in this work we first recommend a Convolution Neural Network (CNN) based entirely technique to find fake face photos produced by the modern-day pleasant technique, and we provide practical evidences to indicate that the proposed technique can create high-satisfactory results with a median accuracy over 87.5% which was accomplished in previous papers and projects. In order to further support the logic of our method, we also provide comparison results assessed on a few variations of the suggested CNN architecture, including the excessive by skip filter, the variety of the layer agencies, and the activation function.",Deep Learning;Deep fake;GAN's;Cyber Security;CNN,IEE
