ID;Title;Authors;Year;Abstract;Keywords;Database
106;LBPNet: Exploiting texture descriptor for deepfake detection;Staffy Kingra and Naveen Aggarwal and Nirmal Kaur;2022;Recent AI advancements made it significantly easier to generate high-quality synthesized faces, referred as deepfakes. It can make people saying and doing things that never happened actually. Owing to the vast usage of social media, manipulated content is susceptible to spread unrest in the society. With the continuous evolvement of AI-enabled deepfake generators, the research on deepake detection has started progressing in the last few years. From analyzing eye-blinking in the previous generation deepfakes to deep learning based models for advanced deepfakes, the existing deepfake detectors have analyzed numerous artefacts. This paper proposes a novel detection approach, LBPNet, to distinguish deepfaked faces from genuine ones by means of exploiting inconsistencies in texture information. In particular, Local Binary Pattern (LBP) of deepfaked and pristine faces have been investigated through a CNN based model. Moreover, the proposed LBPNet technique is evaluated on more advanced and diverse deepfaked datasets such as Celeb-DF, DFDC, and DeeperForensics, which provided a detection accuracy of 92.38%, 80% and 86% respectively. Comprehensive analysis on different benchmark datasets and comparison with state-of-art endorse the superior performance of the proposed method. Thorough experimentations also reveal the robustness of LBPNet against different compression levels and tampering types.;Local Binary Pattern, Deepfake, LBP, Face swap, Texture, Deep network;ScienceDirect
107;Deepfake forensics analysis: An explainable hierarchical ensemble of weakly supervised models;Samuel Henrique Silva and Mazal Bethany and Alexis Megan Votto and Ian Henry Scarff and Nicole Beebe and Peyman Najafirad;2022;Deepfakes have become exponentially more common and sophisticated in recent years, so much so that forensic specialists, policy makers, and the public alike are anxious about their role in spreading disinformation. Recently, the detection and creation of such forgery became a popular research topic, leading to significant growth in publications related to the creation of deepfakes, detection methods, and datasets containing the latest deepfake creation methods. The most successful approaches in identifying and preventing deepfakes are deep learning methods that rely on convolutional neural networks as the backbone for a binary classification task. A convolutional neural network extracts the underlying patterns from the input frames. It feeds these to a binary classification fully connected network, which classifies these patterns as trustworthy or untrustworthy. We claim that this method is not ideal in a scenario in which the generation algorithms constantly evolve since the detection algorithm is not robust enough to detect comparably minor artifacts introduced by the generation algorithms. This work proposes a hierarchical explainable forensics algorithm that incorporates humans in the detection loop. We curate the data through a deep learning detection algorithm and share an explainable decision to humans alongside a set of forensic analyses on the decision region. On the detection side, we propose an attention-based explainable deepfake detection algorithm. We address this generalization issue by implementing an ensemble of standard and attention-based data-augmented detection networks. We use the attention blocks to evaluate the face regions where the model focuses its decision. We simultaneously drop and enlarge the region to push the model to base its decision on more regions of the face, while maintaining a specific focal point for its decision. In this case, we use an ensemble of models to improve the generalization. We also evaluate the models� decision using Grad-CAM explanation to focus on the attention maps. The region uncovered by the explanation layer is cropped and undergoes a series of frequency and statistical analyses that help humans decide if the frame is real or fake. We evaluate our model in one of the most challenging datasets, the DFDC, and achieve an accuracy of 92.4%. We successfully maintain this accuracy in datasets not used in the training process.;Deepfake, Forensics, Deep learning, Facial recognition;ScienceDirect
109;Artificial rabbits optimization with transfer learning based deepfake detection model for biometric applications;Sana Alazwari and Marwa Obayya {Jamal Alsamri} and Mohammad Alamgeer and Rana Alabdan and Ibrahim Alzahrani and Mohammed Rizwanullah and Azza {Elneil Osman};2024;Deepfake detection is a significant area of research in biometric applications, as it is essential to ensure the integrity and authenticity of biometric information. Biometric data, including fingerprint recognition, facial recognition, and voice recognition, are used extensively for identification and authentication, which makes it crucial to prevent and detect deepfake attacks. Deepfake is a manipulated digital media, for example, a video or image of a person can be replaced with a similarity of another person. A crucial way to deepfake detection in biometric applications is to use a machine learning (ML) algorithm, particularly deep learning (DL), that could learn to distinguish between fake and real biometric information. Hence, the study proposes an Artificial Rabbits Optimization with Transfer Learning Deepfake Detection for Biometric Applications (AROTL-DFDBA) technique. The AROTL-DFDBA technique intends to detect fake and original biometric data using the DL model. In the presented AROTL-DFDBA technique, modified DarkNet-53 model for the feature extraction process. Besides, the ARO method was applied for the optimum hyperparameter selection of the modified DarkNet-53 model. For deepfake detection, the Weighted Regularized Extreme Learning Machine (WR-ELM) technique is applied. The simulation outcomes of the AROTL-DFDBA method can be validated on the DeepFake dataset. The extensive simulation results signify better detection outcomes of the AROTL-DFDBA technique over other existing techniques with a maximum accuracy of 96.48%.;Biometric applications, Computer vision, Deep fake detection, Deep learning, Artificial rabbits optimizer;ScienceDirect
110;Magnifying multimodal forgery clues for Deepfake detection;Xiaolong Liu and Yang Yu and Xiaolong Li and Yao Zhao;2023;Advancements in computer vision and deep learning have led to difficulty in distinguishing the generated Deepfake media. In addition, recent forgery techniques also modify the audio information based on the forged video, which brings new challenges. However, due to the cross-modal bias, recent multimodal detection methods do not well explore the intra-modal and cross-modal forgery clues, which leads to limited detection performance. In this paper, we propose a novel audio-visual aware multimodal Deepfake detection framework to magnify intra-modal and cross-modal forgery clues. Firstly, to capture temporal intra-modal defects, Forgery Clues Magnification Transformer (FCMT) module is proposed to magnify forgery clues based on sequence-level relationships. Then, the Distribution Difference based Inconsistency Computing (DDIC) module based on Jensen�Shannon divergence is designed to adaptively align multimodal information for further magnifying the cross-modal inconsistency. Next, we further explore spatial artifacts by connecting multi-scale feature representation to provide comprehensive information. Finally, a feature fusion module is designed to adaptively fuse features to generate a more discriminative feature. Experiments demonstrate that the proposed framework outperforms independently trained models, and at the same time, yields superior generalization capability on unseen types of Deepfake.;Deepfake forgery detection, Multimodal clues magnification, Cross-modal inconsistency, Multi-scale representation;ScienceDirect
112;Preserving manipulated and synthetic Deepfake detection through face texture naturalness;Chit-Jie Chew and Yu-Cheng Lin and Ying-Chin Chen and Yun-Yi Fan and Jung-San Lee;2024;With the rapid development of deep learning and face recognition technology, AI(Artificial Intelligence) experts have rated Deepfake cheating as the top AI threat. It is difficult for the human eye to distinguish the fake face images generated by Deepfake. Therefore, it has become a popular tool for criminals to seek benefits. Deepfake can be mainly divided into two types, a manipulated Deepfake that falsifies images of others by targeting real faces, and a synthetic Deepfake using GAN to generate a new fake image. So far, seldom cybersecurity system is able to detect these two types simultaneously. In this article, we aim to propose a hybrid Deepfake detection mechanism (HDDM) based on face texture and naturalness degree. HDDM constructs a unique texture from a facial image based on CNN(Convolutional Neural Network) and builds a naturalness degree recognition model via DNN(Deep Neural Network) to help cheating detection. Experimental results have proved that HDDM possesses a sound effect and stability for synthetic and manipulated Deepfake attacks. In particular, the WildDeepfake simulation has demonstrated the possibility of applying HDDM to the real world.;Facial texture, Naturalness, Deepfake, DNN;ScienceDirect
114;A deep learning model for FaceSwap and face-reenactment deepfakes detection;Marriam Nawaz and Ali Javed and Aun Irtaza;2024;Recently, the higher availability of multimedia content on social websites, together with lightweight deep learning (DL) empowered tools like Generative Adversarial Networks (GANs) has caused the generation of realistic deepfakes. Such fabricated data has the potential to spread disinformation, revenge porn, initiate monetary scams, and can result in adverse immoral and illegal societal issues, etc. Hence, the accurate identification of deepfakes is mandatory to discriminate between real and manipulated content. In this work, we have presented a DL-based approach namely a unified network for FaceSwap (FS) and Face-Reenactment (FR) Deepfakes Detection (AUFF-Net). More clearly, both the spatial and temporal information from the video samples are used to detect two types of visual manipulations i.e., FS and FR. For this reason, a novel DL framework namely the Inception-Swish-ResNet-v2 model is introduced as a feature extractor for computing the information at the spatial level. While the Bi-LSTM model is utilized to measure the temporal information. Additionally, 3 dense layers are included at the last of the model structure to suggest a discriminative group of the feature vector We performed extensive experimentation on a challenging dataset namely the FaceForensic++, and attainede average accuracy values of 99.21?%, and 98.32?% for FS, or FR, respectively. Furthermore, we introduced an explainability module to show the reliable keypoints selection capability of our technique. Moreover, we have performed a cross-dataset evaluation to show the generalization power of our approach. Both the qualitative and quantitative results have confirmed the effectiveness of the suggested approach for visual manipulation categorization under the occurrence of various adversarial attacks.;Deep learning, Deepfakes, FaceSwap, Face-reenactment, Inception-swish-Resnet-v2, Bi-LSTM;ScienceDirect
115;A multi-label classification method based on transformer for deepfake detection;Liwei Deng and Yunlong Zhu and Dexu Zhao and Fei Chen;2024;With the continuous development of hardware and deep learning technologies, existing forgery techniques are capable of more refined facial manipulations, making detection tasks increasingly challenging. Therefore, forgery detection cannot be viewed merely as a traditional binary classification task. To achieve finer forgery detection, we propose a method based on multi-label detection classification capable of identifying the presence of forgery in multiple facial components. Initially, the dataset undergoes preprocessing to meet the requirements of this task. Subsequently, we introduce a Detail-Enhancing Attention Module into the network to amplify subtle forgery traces in shallow feature maps and enhance the network's feature extraction capabilities. Additionally, we employ a Global�Local Transformer Decoder to improve the network's ability to focus on local information. Finally, extensive experiments demonstrate that our approach achieves 92.45% mAP and 90.23% mAUC, enabling precise detection of facial components in images, thus validating the effectiveness of our proposed method.;Deepfake detection, Multi-label classification, Transformer;ScienceDirect
116;Compressed Deepfake Detection using Spatio-Temporal Approach with Model Pruning;Vidya K and Praveen Ramesh and Hrithik Viknesh and Sanjay Devanand;2023;Deepfake is a deep learning�technology that replaces source person face photos with the�target person face photos in a movie to create a video of the target by�executing the�actions performed by source person. Due to the�limited storage capacity and network bandwidth constraints, compressed media is now commonly employed in social networks. The goal of this research study�is to determine whether or not a given compressed video is a deepfake. To do this, both the spatial and temporal components of the video should be considered, and the findings will be integrated by�using an appropriate fusion approach. Hence, the deep learning model used in the spatial approach is pruned using the Network Pruning technique to achieve a better performance. The combined prediction of the spatial and temporal approaches indicates whether the given video is deepfake or not.;Compressed, Fusion, Pruning, Spatio-Temporal features;ScienceDirect
117;Texture and artifact decomposition for improving generalization in deep-learning-based deepfake detection;Jie Gao and Marco Micheletto and Giulia Orr� and Sara Concas and Xiaoyi Feng and Gian Luca Marcialis and Fabio Roli;2024;The harmful utilization of DeepFake technology poses a significant threat to public welfare, precipitating a crisis in public opinion. Existing detection methodologies, predominantly relying on convolutional neural networks and deep learning paradigms, focus on achieving high in-domain recognition accuracy amidst many forgery techniques. However, overseeing the intricate interplay between textures and artifacts results in compromised performance across diverse forgery scenarios. This paper introduces a groundbreaking framework, denoted as Texture and Artifact Detector (TAD), to mitigate the challenge posed by the limited generalization ability stemming from the mutual neglect of textures and artifacts. Specifically, our approach delves into the similarities among disparate forged datasets, discerning synthetic content based on the consistency of textures and the presence of artifacts. Furthermore, we use a model ensemble learning strategy to judiciously aggregate texture disparities and artifact patterns inherent in various forgery types, thereby enabling the model�s generalization ability. Our comprehensive experimental analysis, encompassing extensive intra-dataset and cross-dataset validations along with evaluations on both video sequences and individual frames, confirms the effectiveness of TAD. The results from four benchmark datasets highlight the significant impact of the synergistic consideration of texture and artifact information, leading to a marked improvement in detection capabilities.;DeepFake detection, Generalization, Texture, Artifact, Ensemble learning strategy;ScienceDirect
118;Customized Convolutional Neural Network for Accurate Detection of Deep Fake Images in Video Collections;Dmitry Gura and Bo Dong and Duaa Mehiar and Nidal Al Said;2024;The motivation for this study is that the quality of deep fakes is constantly improving, which leads to the need to develop new methods for their detection. The proposed Customized Convolutional Neural Network method involves extracting structured data from video frames using facial landmark detection, which is then used as input to the CNN. The customized Convolutional Neural Network method is the date augmented-based CNN model to generate �fake data� or �fake images�. This study was carried out using Python and its libraries. We used 242 films from the dataset gathered by the Deep Fake Detection Challenge, of which 199 were made up and the remaining 53 were real. Ten seconds were allotted for each video. There were 318 videos used in all, 199 of which were fake and 119 of which were real. Our proposed method achieved a testing accuracy of 91.47%, loss of 0.342, and AUC score of 0.92, outperforming two alternative approaches, CNN and MLP-CNN. Furthermore, our method succeeded in greater accuracy than contemporary models such as XceptionNet, Meso-4, EfficientNet-BO, MesoInception-4, VGG-16, and DST-Net. The novelty of this investigation is the development of a new Convolutional Neural Network (CNN) learning model that can accurately detect deep fake face photos.;Deep fake detection video analysis, convolutional neural network, machine learning, video dataset collection, facial landmark prediction, accuracy, models;ScienceDirect
119;A dual descriptor combined with frequency domain reconstruction learning for face forgery detection in deepfake videos;Xin Jin and Nan Wu and Qian Jiang and Yuru Kou and Hanxian Duan and Puming Wang and Shaowen Yao;2024;Conventional face forgery detectors have primarily relied on image artifacts produced by deepfake video generation models. These methods have performed well when the training and test sets were derived from the same deepfake algorithm, but accuracy and generalizability remain a challenge for diverse datasets. In this study, both supervised and unsupervised approaches are proposed for more accurate detection in in-domain and cross-domain experiments. Specifically, two descriptors are introduced to extract rich information in the spatial domain to achieve higher accuracy. A frequency domain reconstruction module is then included to expand the representation space for facial features. A reconstruction method based on an auto-encoder was also applied to obtain a frequency domain coding vector. In this process, reconstruction learning was sufficient for extracting unknown information, while a combination with classification learning provided essential high-frequency pixel differences between real and fake samples, thus facilitating forgery identification. A series of validation experiments with large-scale benchmark datasets demonstrated that the proposed technique was superior to existing methods.;Deepfake detection, Digital forensics, Frequency domain analysis, Deep learning, Auto encoder, Video forgery;ScienceDirect
120;JRC: Deepfake detection via joint reconstruction and classification;Bosheng Yan and Chang-Tsun Li and Xuequan Lu;2024;Deep learning has enabled realistic face manipulation for malicious purposes (e.g., deepfakes), which poses significant concerns over the integrity of the media in circulation. Most existing deep learning techniques for deepfake detection can achieve promising performance in the intra-dataset evaluation setting, but are unable to perform satisfactorily in the inter-dataset evaluation setting. Most previous methods use a backbone network to extract global features for making predictions and only employ binary supervision to train the network. Classification merely based on the learning of global features often leads to weak generalizability to deepfakes of unseen manipulation methods. In this paper, we design a two-branch Convolutional AutoEncoder (CAE), which considers the reconstruction and classification tasks simultaneously for deepfake detection. This Joint Reconstruction and Classification (JRC) method shares the information learned by one task with the other, each focusing on different aspects, and hence boosts the overall performance. JRC is end-to-end, and experiments demonstrate that it achieves state-of-the-art performance on three commonly-used datasets, particularly in the cross-dataset evaluation setting.;Deepfake detection, Unsupervised reconstruction, Joint supervision;ScienceDirect
122;Deepfake detection using deep feature stacking and meta-learning;Gourab Naskar and Sk Mohiuddin and Samir Malakar and Erik Cuevas and Ram Sarkar;2024;Deepfake is a type of face manipulation technique using deep learning that allows for the replacement of faces in videos in a very realistic way. While this technology has many practical uses, if used maliciously, it can have a significant number of bad impacts on society, such as spreading fake news or cyberbullying. Therefore, the ability to detect deepfake has become a pressing need. This paper aims to address the problem of deepfake detection by identifying deepfake forgeries in video sequences. In this paper, a solution to the said problem is presented, which at first uses a stacking based ensemble approach, where features obtained from two popular deep learning models, namely Xception and EfficientNet-B7, are combined. Then by selecting a near-optimal subset of features using a ranking based approach, the final classification is performed to classify real and fake videos using a meta-learner, called multi-layer perceptron. In our experimentation, we have achieved an accuracy of 96.33% on Celeb-DF (V2) dataset and 98.00% on the FaceForensics++ dataset using the meta-learning model both of which are higher than the individual base models. Various types of experiments have been conducted to validate the robustness of the current method.;Deepfake, Stacking based ensemble, Deep learning, Feature selection, Meta-learning;ScienceDirect
123;Counter-act against GAN-based attacks: A collaborative learning approach for anti-forensic detection;Kutub Uddin and Tae Hyun Jeong and Byung Tae Oh;2024;The massive success of deep learning allows us to forge images in more perfect manners for ethical and even unethical purposes. Several forensic methods have been proposed to expose artifacts in fake images. However, the practice of anti-forensics (AF), particularly deep learning-based AF on digital images, has made such forgeries difficult to detect. Therefore, a counter-AF (CAF) algorithm is necessary to reveal AF traces and ensure the authenticity of image content. In this study, we propose a novel data-driven approach to counteract generative adversarial network (GAN)-based AF attacks. We consider different forgery techniques, such as noise addition, filtering, and deepfake generation to generate fake images. Subsequently, GAN-based AF attacks were applied to conceal the forgery fingerprints such that they can deceive forensic methods. We built a new CAF method that allows collaborative learning to detect GAN-based AF attacks. We designed a novel CAF-GAN model by considering the commonly used GAN architectures. The proposed CAF-GAN model generates a new image from the input image, which helps collaborative learning to detect AF images. GAN-based AF attacks can effectively hide forgery fingerprints and significantly reduce the performance of forensic methods. However, the proposed CAF method can effectively detect AF images in match and mismatch scenarios of AF and CAF-GAN models.;Image forensic, Anti-forensic, GAN-based attacks, Counter-anti-forensic, Deep learning, And metric learning;ScienceDirect
124;DF-UDetector: An effective method towards robust deepfake detection via feature restoration;Jianpeng Ke and Lina Wang;2023;The abuse of deepfakes, a rising face swap technique, causes severe concerns about the authenticity of visual content and the dissemination of misinformation. To alleviate the threats imposed by deepfakes, a vast body of data-centric detectors has been deployed. However, the performance of these methods can be easily defected by degradations on deepfakes. To improve the performance of degradation deepfake detection, we creatively explore the recovery method in the feature space to preserve the artifacts for detection instead of directly in the image domain. In this paper, we propose a method, namely DF-UDetector, against degradation deepfakes by modeling the degraded images and transforming the extracted features to a high-quality level. To be specific, the whole model consists of three key components: an image feature extractor to capture image features, a feature transforming module to map the degradation features into a higher quality, and a discriminator to determine whether the feature map is of high quality enough. Extensive experiments on multiple video datasets show that our proposed model performs comparably or even better than state-of-the-art counterparts. Moreover, DF-UDetector outperforms by a small margin when detecting deepfakes in the wild.;Degradation deepfake detection, Feature space manipulation, Deep neural networks, Face manipulation, Deep learning, Deepfakes;ScienceDirect
126;Deepfake forensics: Cross-manipulation robustness of feedforward- and recurrent convolutional forgery detection methods;Frederic Chamot and Zeno Geradts and Evert Haasdijk;2022;Recently, deep-learning based video-manipulation techniques, so-called deepfakes, have gained a lot of traction in popular media. Deepfakes are predominantly used to photo-realistically alter the identity of actors recorded on video, and misuse of this new technology has the potential to harm individuals, companies, or to inflict damage in a societal context. The accelerated pace, at which deepfake technology is improved, challenges contemporary research to provide the urgently required detection methods. A major obstacle to reliable deepfake detection in the field is the impaired generalizability across specific instances of deepfake models, i.e. detection performance of previously not encountered manipulation models. The present work aims to establish a better understanding of the critical factors that guide cross-manipulation detection performance. Recent studies have indicated that the properties of video-based modeling may be leveraged to enhance the detection of unknown deepfake manipulations. Therefore, we compare multiple image- and video-based detection models and evaluate their performance on instances both generated by known, and unknown manipulation models. Furthermore we attempt to replicate research that successfully improved cross-manipulation detection by using image-perturbation methods to degrade training data. Using multiple data-sources to emulate in- and out-sample detection performance, we demonstrate that none of the two model types show universally superior performance. Also, our results confirm that cross-manipulation evaluation results in problematic detection accuracy for all models, regardless of whether we apply image-perturbation techniques during training. Additionally, the detection performance on a set of manually selected, high-quality deepfake videos indicates that the current state-of-the-art detection models are not yet fully equipped for real-world applications.;Deepfake detection, Computer vision, Image perturbations, Recurrent convolutional networks;ScienceDirect
127;Learning Spatio-temporal features to detect manipulated facial videos created by the Deepfake techniques;Xuan Hau Nguyen and Thai Son Tran and Van Thinh Le and Kim Duy Nguyen and Dinh-Tu Truong;2021;In the last years, the face synthetic video generation has been rapid, and hyper-realistic forged videos are based on Deepfake techniques. It leads to a loss of trust in videos' content and makes it malicious by spreading forged videos on the internet. Until now, there are a few algorithms that have been suggested for detecting forged videos created by Deepfake techniques, but most of them based on analyzing or learning features on frames separately in a video. Those algorithms often pay less attention to Spatio-temporal features, so these algorithms' accuracy is usually not good. This paper proposes a 3-dimensional (3-D) convolutional neural network model that can learn Spatio-temporal features from an adjacent frame sequence in a video. Our proposed network's binary detection accuracy reached over 99% on the two largest benchmark datasets as Deepfake of FaceForensics++ and VidTIMIT datasets. The experimental results of the proposed method outperform state-of-the-art methods.;Video forensic, Deepfake video detection, Autoencoder-decoder, Generative adversarial networks, Deep learning, 3-D convolutional neural network;ScienceDirect
128;GAN-CNN Ensemble: A Robust Deepfake Detection Model of Social Media Images Using Minimized Catastrophic Forgetting and Generative Replay Technique;Preeti Sharma and Manoj Kumar and Hitesh Kumar Sharma;2024;Deep-fake photographs are difficult to discern from real ones, especially when utilized in social media platforms. Anyone can willfully create disinformation about public personalities, politicians, and celebrities using these deep fake photographs. So, it is an important need of society to work for an effective model for its detection. The models for deep fake detection commonly use CNN-based detectors. These detectors experience a drop in performance when used for transfer learning or continual learning techniques. A significant limitation in this process is CNN's catastrophe forgetting defect. For the solution of this problem, a Generative replay technique in the form of a GAN-CNN model is implemented that works to minimize this catastrophe forgetting issue that further helps for better detection. It involves generating and storing samples from previous tasks and then replaying them during the training of new tasks which makes CNN more robust to identify deep fakes. The GAN model used in this work is traditional DCGAN improved with necessary adjustments to achieve training stability. It is observed that the model attained a good accuracy of 98.67%(training),70.08% (testing) and minimum loss with a value of 0. 0337 for 100 epochs. Also, it acquired good precision values of 68% and 72%, Recall values are 74% and 66%, and F1 scores of 71% and 69% for classes 0 and 1 respectively. The model outcome is found stable and reliable in deep fake detection under dynamic training conditions. Optimum values of evaluation parameters ensure the model's capacity to learn new tasks preserving the existing task-learning knowledge.;"Deep Learning, CNN;GAN;Catastrophe forgetting;CNN continual learning;Lifelong learning, GAN-CNN deep fake detector";ScienceDirect
130;Watching the BiG artifacts: Exposing DeepFake videos via Bi-granularity artifacts;Han Chen and Yuezun Li and Dongdong Lin and Bin Li and Junqiang Wu;2023;Recent years have witnessed significant advances in AI-based face manipulation techniques, known as DeepFakes, which has brought severe threats to society. Hence, an emerging and increasingly important research topic is how to detect DeepFake videos. In this paper, we propose a new DeepFake detection method based on Bi-granularity artifacts (BiG-Arts). We observe that the most of DeepFake video generation can commonly introduce bi-granularity artifacts: the intrinsic-granularity artifacts and extrinsic-granularity artifacts. Specifically, the intrinsic-granularity artifacts are caused by a common series of operations in model generation such as up-convolution or up-sampling, while the extrinsic-granularity artifacts are introduced by a common step in post-processing that blends the synthesized face to original video. To this end, we formulate DeepFake detection as multi-task learning problem, to simultaneously predict the intrinsic and extrinsic artifacts. Benefiting from the guidance of detecting Bi-granularity artifacts, our method is notably boosted in both within-datasets and cross-datasets scenarios. Extensive experiments are conducted on several DeepFake datasets, which corroborates the superiority of our method. Our method has been contributed as a part of the solution to achieve the Top-1 rank in DFGC competition (https://competitions.codalab.org/competitions/29583).;Multimedia forensics, Deepfake detection, Granularity artifacts, Multi-task learning;ScienceDirect
134;Deepfake detection: Enhancing performance with spatiotemporal texture and deep learning feature fusion;Abdelwahab Almestekawy and Hala H. Zayed and Ahmed Taha;2024;Deepfakes bring critical ethical issues about consent, authenticity, and the manipulation of digital content. Identifying Deepfake videos is one step towards fighting their malicious uses. While the previous works introduced accurate methods for Deepfake detection, the stability of the proposed methods is rarely discussed. The problem statement of this paper is to build a stable model for Deepfake detection. The results of the model should be reproducible. In other words, if other researchers repeat the same experiments, the results should not differ. The proposed technique combines multiple spatiotemporal textures and deep learning-based features. An enhanced 3D Convolutional Neural Network, which contains a spatiotemporal attention layer, is utilized in a Siamese architecture. Various analyses are carried out on the control parameters, feature importance, and reproducibility of results. Our technique is tested on four datasets: Celeb-DF, FaceForensics++, DeepfakeTIMIT, and FaceShifter. The results demonstrate that a Siamese architecture can improve the accuracy of 3D Convolutional Neural Networks by 7.9�% and reduce the standard deviation of accuracy to 0.016, which indicates reproducible results. Furthermore, adding texture features enhances accuracy by up to 91.96�%. The final model can achieve an Area Under Curve (AUC) up to 97.51�% and 95.44�% in same-dataset and cross-dataset scenarios, respectively. The main contributions of this work are the enhancement of model stability and the assurance of result repeatability, ensuring consistent results with high accuracy.;Deepfake detection, Deep learning, 3D CNN, Siamese architecture;ScienceDirect
135;Reducing Dataset Specificity for Deepfakes Using Ensemble Learning;Qaiser Abbas and Turki Alghamdi and Yazed Alsaawy and Tahir Alyas and Ali Alzahrani and Khawar Iqbal Malik and Saira Bibi;2022;The emergence of deep fake videos in recent years has made image falsification a real danger. A person�s face and emotions are deep-faked in a video or speech and are substituted with a different face or voice employing deep learning to analyze speech or emotional content. Because of how clever these videos are frequently, Manipulation is challenging to spot. Social media are the most frequent and dangerous targets since they are weak outlets that are open to extortion or slander a human. In earlier times, it was not so easy to alter the videos, which required expertise in the domain and time. Nowadays, the generation of fake videos has become easier and with a high level of realism in the video. Deepfakes are forgeries and altered visual data that appear in still photos or video footage. Numerous automatic identification systems have been developed to solve this issue, however they are constrained to certain datasets and perform poorly when applied to different datasets. This study aims to develop an ensemble learning model utilizing a convolutional neural network (CNN) to handle deepfakes or Face2Face. We employed ensemble learning, a technique combining many classifiers to achieve higher prediction performance than a single classifier, boosting the model�s accuracy. The performance of the generated model is evaluated on Face Forensics. This work is about building a new powerful model for automatically identifying deep fake videos with the DeepFake-Detection-Challenges (DFDC) dataset. We test our model using the DFDC, one of the most difficult datasets and get an accuracy of 96%.;Deep machine learning, deep fake, CNN, DFDC, ensemble learning;ScienceDirect
137;Deepfake Detection Using Machine Learning Algorithms;"M. S. Rana; B. Murali; A. H. Sung";2021;Deepfake, a new video manipulation technique, has drawn much attention recently. Among the unlawful or nefarious applications, Deepfake has been used for spreading misinformation, fomenting political discord, smearing opponents, or even blackmailing. As the technology becomes more sophisticated and the apps for creating them ever more available, detecting Deepfake has become a challenging task, and accordingly researchers have proposed various deep learning (DL) methods for detection. Though the DL-based approach can achieve good solutions, this paper presents the results of our study indicating that traditional machine learning (ML) techniques alone can obtain superior performance in detecting Deepfake. The ML-based approach is based on the standard methods of feature development and feature selection, followed by training, tuning, and testing an ML classifier. The advantage of the ML approach is that it allows better understandability and interpretability of the model with reduced computational cost. We present results on several Deepfake datasets that are obtained relatively fast with comparable or superior performance to the state-of-the-art DL-based methods: 99.84% accuracy on FaceForecics++, 99.38% accuracy on DFDC, 99.66% accuracy on VDFD, and 99.43% on Celeb-DF datasets. Our results suggest that an effective system for detecting Deepfakes can be built using traditional ML methods.;"Deepfake;Deep Learning;Machine Learning;Face Manipulation";IEEE
138;A Novel Approach for Detecting Deepfake Face Using Machine Learning Algorithms;"M. Kumar; P. K. Rai; P. Kumar";2024;In today's digital age, the ability to identify, differentiate, and authenticate manipulated online content is essential. Being ability to discriminate between the real and the fake is crucial. Recent advances in technologies such as artificial intelligence, machine learning, and deep learning are playing a major role in the generation of deepfake media (images and videos). Very realistic deep fake images and videos can be produced by utilizing sophisticated deep learning models such as generative adversarial neural networks (GAN s) and autoencoders, in conjunction with a sizable image collection pertaining to the subject matter. Deepfakes (DF) refer to artificially synthesized images or videos created using features such as face swapping and facial expression recombination. These face manipulation techniques have become extremely sophisticated. Deepfakes can be used to create child pornography, pornographic images of celebrities, revenge porn, fake news and harassment, spreading disinformation on social media platforms, financial fraud, election manipulation, and more. Therefore, there is a need to design and develop a robust framework to identify these deepfake images and videos. The purpose of this paper is to identify deepfakes from visual deepfake datasets and perform a comparative analysis of deep fake detection through machine learning algorithms.;"Deepfake;Artificial Intelligence (AI);Machine Learning (ML);Deep Learning;Generative Adversarial Neural Networks (GANs);Face Swapping";IEEE
141;A Comparative Study: Deepfake Detection Using Deep-learning;"N. Khatri; V. Borar; R. Garg";2023;"In recent decades, we have seen significant advancement in fields like Artificial Intelligence, Machine Learning, and Deep Learning, resulting in the developing of new technologies such as deepfake. Deepfakes are a form of digital media that replaces one identity�s likeness with another or creates a synthetic personality: in the form of high-quality realistic fake video, image, or audio. Deepfakes can be helpful in education, art, activism, and self-expression; however, some subjects can use deepfakes to harm the portrayal of people, create pornographic content, and spread misleading information. High-quality deepfakes are easy to build but incredibly difficult to detect, creating a need to explore technologies which can be helpful in deepfake detection. Therefore, we present a comparative study of deep-learning models that can benefit deepfake detection. We have explored four deep-learning models, namely, VGG16, MobileNetV2, XceptionNet, and InceptionV3 and trained these models on the FaceForensics++ dataset. Finally, we evaluate the performance of these models for deepfake detection and conclude the study with our observations and future scope for improvement in this field.";"deepfake detection;computer vision;deep learning;image classification;convolutional neural networks";IEEE
142;DeepFake Detection Using Error Level Analysis and Deep Learning;"R. Rafique; M. Nawaz; H. Kibriya; M. Masood";2021;The image recognition software is used in numerous distinctive industries that include entertainment and media. The deep learning (DL) algorithms have been of great help in the development of several techniques used for creating, altering, and locating any data. The deepfake method is a photo-faking technique that includes replacing two people's faces to an extent that it becomes very difficult to identify it with a naked eye. The convolution neural network (CNN) models including Alex Net and Shuffle Net are used to recognize genuine and counterfeit face images in this article. The technique analyzes the performance and working of all distinctive algorithms using the real/fake face recognition collection from Yonsei University's Computational Intelligence Photography Lab. The first step in the process starts by the normalizing of pictures then the Error Level Analysis is carried out before it is put into several difference CNN models. Then the in-depth features are extracted from the CNN models utilizing the Support Vector Machine and the K-nearest neighbor methods. The most perfect accuracy of 88.2% of Shuffle Net via KNN was analyzed while Alex Net's vector had the accuracy of 86.8%.;"Deep Learning;Machine Learning;CNN;Deepfake Detection;SVM;KNN";IEEE
